Nome;Sobrenome;POS;player_id;image_path
P.J.;Washington;F;1629023.0;assets/players/1629023.png
Pacome;Dadiet;F;;perfiljogador.png
Paolo;Banchero;F;1631094.0;assets/players/1631094.png
Pascal;Siakam;F;1627783.0;assets/players/1627783.png
Pat;Spencer;G;1630311.0;assets/players/1630311.png
Pat;Connaughton;G;1626192.0;assets/players/1626192.png
Patrick;Williams;F;1630172.0;assets/players/1630172.png
Patrick;Baldwin Jr.;F;;perfiljogador.png
Paul;George;F;202331.0;assets/players/202331.png
Paul;Reed;F;1630194.0;assets/players/1630194.png
Payton;Pritchard;G;1630202.0;assets/players/1630202.png
Pelle;Larsson;G;1641796.0;assets/players/1641796.png
Pete;Nance;F;1631250.0;assets/players/1631250.png
Peyton;Watson;G;1631212.0;assets/players/1631212.png
PJ;Hall;C;1641790.0;assets/players/1641790.png
PJ;Hall;C;1641790.0;assets/players/1641790.png
Precious;Achiuwa;F;1630173.0;assets/players/1630173.png
Quentin;Grimes;G;1629656.0;assets/players/1629656.png
Quenton;Jackson;G;1631245.0;assets/players/1631245.png
Quinten;Post;C;1642366.0;assets/players/1642366.png
Rasheer;Fleming;F;1642853.0;assets/players/1642853.png
Rayan;Rupert;G-F;1641712.0;assets/players/1641712.png
RayJ;Dennis;G;1642484.0;assets/players/1642484.png
RayJ;Dennis;G;1642484.0;assets/players/1642484.png
RayJ;Dennis;G;1642484.0;assets/players/1642484.png
Reed;Sheppard;G;1642263.0;assets/players/1642263.png
Riley;Minix;F;1642434.0;assets/players/1642434.png
RJ;Barrett;F-G;1629628.0;assets/players/1629628.png
Rob;Dillingham;G;1642265.0;assets/players/1642265.png
Robert;Williams III;C-F;1629057.0;assets/players/1629057.png
Ron;Harper Jr.;G-F;1631199.0;assets/players/1631199.png
Ronald;Holland II;F;1641842.0;assets/players/1641842.png
Royce;O'Neale;F;1626220.0;assets/players/1626220.png
Rudy;Gobert;C;203497.0;assets/players/203497.png
Rui;Hachimura;F;1629060.0;assets/players/1629060.png
Russell;Westbrook;G;201566.0;assets/players/201566.png
Ryan;Rollins;G;1631157.0;assets/players/1631157.png
Ryan;Kalkbrenner;C;1641750.0;assets/players/1641750.png
Ryan;Nembhard;G;1642948.0;assets/players/1642948.png
Ryan;Dunn;F;1642346.0;assets/players/1642346.png
Saddiq;Bey;G-F;1630180.0;assets/players/1630180.png
Sam;Merrill;G;1630241.0;assets/players/1630241.png
Sam;Hauser;F;1630573.0;assets/players/1630573.png
Sandro;Mamukelashvili;F-C;1630572.0;assets/players/1630572.png
Santi;Aldama;F-C;1630583.0;assets/players/1630583.png
Scottie;Barnes;F-G;1630567.0;assets/players/1630567.png
Seth;Curry;G;;perfiljogador.png
Shaedon;Sharpe;G;1631101.0;assets/players/1631101.png
Shai;Gilgeous-Alexander;G;1628983.0;assets/players/1628983.png
Sharife;Cooper;G;1630536.0;assets/players/1630536.png
Sidy;Cissoko;G;1631321.0;assets/players/1631321.png
Simone;Fontecchio;F;1631323.0;assets/players/1631323.png
Sion;James;G;1642883.0;assets/players/1642883.png
Skal;Labissiere;F-C;;perfiljogador.png
Spencer;Jones;F;1642461.0;assets/players/1642461.png
Stephen;Curry;G;201939.0;assets/players/201939.png
Stephon;Castle;G;1642264.0;assets/players/1642264.png
Steven;Adams;C;203500.0;assets/players/203500.png
Svi;Mykhailiuk;G-F;1629004.0;assets/players/1629004.png
T.J.;McConnell;G;204456.0;assets/players/204456.png
Taelon;Peter;G;1643007.0;assets/players/1643007.png
Tari;Eason;F;1631106.0;assets/players/1631106.png
